I-V Test: B86-G33-22FZ+27MP-G-DMF-D1GB-C2 dark
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:50 AM


Light Intensity:,Dark Sun
Voc (mV),----
Jsc (mA/cm2),----
Fill Factor,----
Efficiency (%),----
Voltage (mV),Dark Sun (mA/cm2)
1300.000,-46.579587
1290.000,-40.227300
1280.000,-33.439175
1270.000,-27.692250
1260.000,-23.063319
1250.000,-19.417381
1240.000,-16.533981
1230.000,-14.284550
1220.000,-12.534781
1210.000,-11.104462
1200.000,-10.027462
1190.000,-9.105862
1180.000,-8.329575
1170.000,-7.859356
1160.000,-7.294087
1150.000,-6.750050
1140.000,-6.321450
1130.000,-5.882464
1120.000,-5.499697
1110.000,-5.093546
1100.000,-4.775027
1090.000,-4.491049
1080.000,-4.207680
1070.000,-3.926622
1060.000,-3.694606
1050.000,-3.449355
1040.000,-3.252673
1030.000,-3.022392
1020.000,-2.820445
1010.000,-2.633970
1000.000,-2.473382
990.000,-2.281749
980.000,-2.132737
970.000,-1.995667
960.000,-1.845339
950.000,-1.690382
940.000,-1.583909
930.000,-1.472019
920.000,-1.397539
910.000,-1.300776
900.000,-1.180808
890.000,-1.097356
880.000,-1.025718
870.000,-0.930849
860.000,-0.862893
850.000,-0.808356
840.000,-0.758631
830.000,-0.697990
820.000,-0.645162
810.000,-0.605857
800.000,-0.582153
790.000,-0.553792
780.000,-0.525721
770.000,-0.489073
760.000,-0.465552
750.000,-0.443137
740.000,-0.422117
730.000,-0.398781
720.000,-0.379339
710.000,-0.364237
700.000,-0.345716
690.000,-0.339771
680.000,-0.330931
670.000,-0.306700
660.000,-0.290810
650.000,-0.278918
640.000,-0.270447
630.000,-0.257477
620.000,-0.253083
610.000,-0.237219
600.000,-0.230616
590.000,-0.209832
580.000,-0.211594
570.000,-0.205175
560.000,-0.195520
550.000,-0.186575
540.000,-0.181024
530.000,-0.165844
520.000,-0.171526
510.000,-0.149085
500.000,-0.146796
490.000,-0.141403
480.000,-0.136430
470.000,-0.132458
460.000,-0.127354
450.000,-0.117620
440.000,-0.112647
430.000,-0.105386
420.000,-0.105649
410.000,-0.100361
400.000,-0.095836
390.000,-0.089838
380.000,-0.084760
370.000,-0.084392
360.000,-0.079577
350.000,-0.076736
340.000,-0.072053
330.000,-0.067949
320.000,-0.064923
310.000,-0.063055
300.000,-0.060872
290.000,-0.058004
280.000,-0.055136
270.000,-0.049691
260.000,-0.047612
250.000,-0.044481
240.000,-0.042956
230.000,-0.040851
220.000,-0.038588
210.000,-0.036510
200.000,-0.034378
190.000,-0.032353
180.000,-0.030221
170.000,-0.030353
160.000,-0.029195
150.000,-0.025801
140.000,-0.023617
130.000,-0.021697
120.000,-0.020802
110.000,-0.019566
100.000,-0.018355
90.000,-0.012935
80.000,-0.011278
70.000,-0.009515
60.000,-0.007989
50.000,-0.006331
40.000,-0.004832
30.000,-0.003279
20.000,-0.001753
10.000,-0.000122
0.000,0.001272
-10.000,0.002772
-20.000,0.004324
-30.000,0.005956
-40.000,0.007613
-50.000,0.009218
-60.000,0.010665
-70.000,0.012165
-80.000,0.013612
-90.000,0.015243
-100.000,0.017085
