I-V Test: B86-G33-22FZ+27MP-G-DMF-D1GB-C2
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:50 AM


Light Intensity:,100.0% Sun
Voc (mV),1050
Jsc (mA/cm2),5.16
Fill Factor,0.504
Efficiency (%),2.73
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-47.352481
1290.000,-41.439606
1280.000,-34.547175
1270.000,-28.435312
1260.000,-23.357425
1250.000,-19.217606
1240.000,-15.994325
1230.000,-13.377794
1220.000,-11.314137
1210.000,-9.682212
1200.000,-8.311762
1190.000,-7.173750
1180.000,-6.239160
1170.000,-5.405014
1160.000,-4.698124
1150.000,-4.059454
1140.000,-3.471034
1130.000,-2.955541
1120.000,-2.497979
1110.000,-2.052547
1100.000,-1.651918
1090.000,-1.267126
1080.000,-0.920351
1070.000,-0.583784
1060.000,-0.262186
1050.000,0.006113
1040.000,0.310632
1030.000,0.508145
1020.000,0.776328
1010.000,1.022226
1000.000,1.243339
990.000,1.418121
980.000,1.613819
970.000,1.685252
960.000,1.789099
950.000,1.938832
940.000,2.088329
930.000,2.232906
920.000,2.352828
910.000,2.454677
900.000,2.648559
890.000,2.713729
880.000,2.788609
870.000,2.876644
860.000,2.964945
850.000,3.042664
840.000,3.115020
830.000,3.183374
820.000,3.242679
810.000,3.308795
800.000,3.371810
790.000,3.433535
780.000,3.481314
770.000,3.526859
760.000,3.567349
750.000,3.643491
740.000,3.653517
730.000,3.682826
720.000,3.699114
710.000,3.743497
700.000,3.782963
690.000,3.805879
680.000,3.832219
670.000,3.858686
660.000,3.877707
650.000,3.889415
640.000,4.007394
630.000,3.937986
620.000,3.981109
610.000,4.011365
600.000,4.024021
590.000,4.038280
580.000,4.038728
570.000,4.047909
560.000,4.081456
550.000,4.098004
540.000,4.109029
530.000,4.121975
520.000,4.142734
510.000,4.161941
500.000,4.196564
490.000,4.210666
480.000,4.231980
470.000,4.254134
460.000,4.275022
450.000,4.294782
440.000,4.309938
430.000,4.355297
420.000,4.364216
410.000,4.391814
400.000,4.416941
390.000,4.436070
380.000,4.448489
370.000,4.483297
360.000,4.493979
350.000,4.523632
340.000,4.541865
330.000,4.565441
320.000,4.579831
310.000,4.610166
300.000,4.628636
290.000,4.661683
280.000,4.679969
270.000,4.707567
260.000,4.735061
250.000,4.757663
240.000,4.766792
230.000,4.802971
220.000,4.822071
210.000,4.843938
200.000,4.864536
190.000,4.883638
180.000,4.891188
170.000,4.916525
160.000,4.927629
150.000,4.955227
140.000,4.970595
130.000,4.980170
120.000,5.002114
110.000,5.024766
100.000,5.032027
90.000,5.061392
80.000,5.062865
70.000,5.078914
60.000,5.092253
50.000,5.119169
40.000,5.131851
30.000,5.133062
20.000,5.138114
10.000,5.152294
0.000,5.159531
-10.000,5.171606
-20.000,5.184236
-30.000,5.201335
-40.000,5.201888
-50.000,5.214887
-60.000,5.226384
-70.000,5.231644
-80.000,5.255801
-90.000,5.252904
-100.000,5.259087
