I-V Test: B86-G33-22FZ+27MP-G-DMF-D1GB-C2
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:51 AM


Light Intensity:,100.0% Sun
Voc (mV),1030
Jsc (mA/cm2),4.96
Fill Factor,0.490
Efficiency (%),2.51
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-46.500512
1290.000,-39.760356
1280.000,-32.459100
1270.000,-26.453575
1260.000,-21.582400
1250.000,-17.847737
1240.000,-14.890469
1230.000,-12.676006
1220.000,-10.855662
1210.000,-9.455450
1200.000,-8.249619
1190.000,-7.312712
1180.000,-6.467250
1170.000,-5.746711
1160.000,-5.092441
1150.000,-4.491337
1140.000,-3.945064
1130.000,-3.443858
1120.000,-3.014868
1110.000,-2.564331
1100.000,-2.164411
1090.000,-1.775911
1080.000,-1.471256
1070.000,-1.113404
1060.000,-0.811460
1050.000,-0.545925
1040.000,-0.264475
1030.000,-0.005726
1020.000,0.239804
1010.000,0.488991
1000.000,0.702448
990.000,0.903644
980.000,1.126626
970.000,1.320061
960.000,1.495578
950.000,1.665597
940.000,1.770708
930.000,1.913232
920.000,2.051178
910.000,2.167156
900.000,2.288104
890.000,2.402792
880.000,2.490092
870.000,2.603620
860.000,2.701312
850.000,2.754381
840.000,2.835337
830.000,2.913874
820.000,2.975311
810.000,3.039875
800.000,3.090996
790.000,3.135067
780.000,3.193371
770.000,3.242492
760.000,3.296746
750.000,3.310268
740.000,3.360391
730.000,3.390463
720.000,3.427297
710.000,3.460791
700.000,3.493652
690.000,3.501044
680.000,3.550273
670.000,3.560111
660.000,3.571084
650.000,3.593554
640.000,3.603816
630.000,3.611001
620.000,3.625496
610.000,3.631810
600.000,3.668565
590.000,3.676301
580.000,3.688431
570.000,3.708846
560.000,3.700479
550.000,3.721267
540.000,3.727421
530.000,3.742154
520.000,3.761128
510.000,3.773625
500.000,3.795251
490.000,3.807248
480.000,3.837427
470.000,3.846085
460.000,3.875287
450.000,3.880444
440.000,3.916987
430.000,3.928803
420.000,3.951087
410.000,3.971319
400.000,3.997659
390.000,4.011392
380.000,4.045910
370.000,4.069224
360.000,4.093138
350.000,4.121635
340.000,4.130816
330.000,4.174149
320.000,4.196779
310.000,4.230822
300.000,4.251764
290.000,4.276866
280.000,4.317674
270.000,4.335116
260.000,4.368477
250.000,4.388396
240.000,4.422968
230.000,4.454910
220.000,4.496769
210.000,4.515686
200.000,4.540101
190.000,4.575385
180.000,4.595696
170.000,4.635371
160.000,4.659419
150.000,4.678837
140.000,4.700359
130.000,4.731722
120.000,4.748456
110.000,4.773504
100.000,4.796208
90.000,4.800446
80.000,4.834781
70.000,4.859012
60.000,4.882216
50.000,4.900399
40.000,4.915816
30.000,4.926867
20.000,4.951964
10.000,4.954625
0.000,4.961361
-10.000,4.989248
-20.000,4.989405
-30.000,5.003353
-40.000,5.024267
-50.000,5.035554
-60.000,5.042894
-70.000,5.060154
-80.000,5.069179
-90.000,5.070311
-100.000,5.085781
