I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C1+ dark
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:53 AM


Light Intensity:,Dark Sun
Voc (mV),----
Jsc (mA/cm2),----
Fill Factor,----
Efficiency (%),----
Voltage (mV),Dark Sun (mA/cm2)
1300.000,-81.428500
1290.000,-87.217625
1280.000,-88.695875
1270.000,-88.716812
1260.000,-87.996187
1250.000,-86.838625
1240.000,-85.370187
1230.000,-83.683250
1220.000,-81.839250
1210.000,-79.871687
1200.000,-77.815625
1190.000,-75.675250
1180.000,-73.522687
1170.000,-71.310062
1160.000,-69.072562
1150.000,-66.818750
1140.000,-64.554937
1130.000,-62.295600
1120.000,-60.021069
1110.000,-57.747619
1100.000,-55.500462
1090.000,-53.265562
1080.000,-51.039800
1070.000,-48.832925
1060.000,-46.663481
1050.000,-44.513487
1040.000,-42.395837
1030.000,-40.316662
1020.000,-38.272381
1010.000,-36.266156
1000.000,-34.306669
990.000,-32.393644
980.000,-30.523075
970.000,-28.703469
960.000,-26.931419
950.000,-25.220056
940.000,-23.557094
930.000,-21.952612
920.000,-20.408531
910.000,-18.923800
900.000,-17.499069
890.000,-16.135706
880.000,-14.834194
870.000,-13.600419
860.000,-12.426444
850.000,-11.314669
840.000,-10.269956
830.000,-9.284719
820.000,-8.364231
810.000,-7.505594
800.000,-6.710206
790.000,-5.971931
780.000,-5.293799
770.000,-4.672256
760.000,-4.112091
750.000,-3.630406
740.000,-3.169557
730.000,-2.728624
720.000,-2.349359
710.000,-2.021132
700.000,-1.731919
690.000,-1.478305
680.000,-1.257443
670.000,-1.065126
660.000,-0.899198
650.000,-0.756867
640.000,-0.635164
630.000,-0.531455
620.000,-0.443321
610.000,-0.369420
600.000,-0.306726
590.000,-0.254425
580.000,-0.209305
570.000,-0.172605
560.000,-0.142087
550.000,-0.116962
540.000,-0.095783
530.000,-0.078262
520.000,-0.064002
510.000,-0.052058
500.000,-0.042245
490.000,-0.034352
480.000,-0.027459
470.000,-0.022276
460.000,-0.018092
450.000,-0.014040
440.000,-0.010778
430.000,-0.008726
420.000,-0.006779
410.000,-0.005200
400.000,-0.003621
390.000,-0.002753
380.000,-0.001964
370.000,-0.001227
360.000,-0.000806
350.000,-0.000280
340.000,0.000141
330.000,0.000299
320.000,0.000404
310.000,0.000562
300.000,0.000404
290.000,0.000404
280.000,0.000430
270.000,0.000430
260.000,0.000746
250.000,0.000430
240.000,0.000930
230.000,0.000930
220.000,0.000720
210.000,0.000667
200.000,0.000588
190.000,0.000693
180.000,0.000641
170.000,0.000799
160.000,0.000878
150.000,0.000667
140.000,0.000799
130.000,0.000588
120.000,0.000772
110.000,0.000667
100.000,0.000772
90.000,0.000878
80.000,0.000693
70.000,0.000588
60.000,0.000641
50.000,0.000562
40.000,0.000509
30.000,0.000641
20.000,0.000904
10.000,0.000878
0.000,0.000614
-10.000,0.000588
-20.000,0.000562
-30.000,0.000825
-40.000,0.000667
-50.000,0.000904
-60.000,0.000878
-70.000,0.000825
-80.000,0.000799
-90.000,0.001088
-100.000,0.001062
