I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C1+
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:54 AM


Light Intensity:,100.0% Sun
Voc (mV),743
Jsc (mA/cm2),3.87
Fill Factor,0.709
Efficiency (%),2.04
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-75.695937
1290.000,-82.464750
1280.000,-84.899187
1270.000,-85.729000
1260.000,-85.636250
1250.000,-85.192562
1240.000,-84.055687
1230.000,-82.691062
1220.000,-81.092562
1210.000,-79.252437
1200.000,-77.307875
1190.000,-75.307687
1180.000,-73.273812
1170.000,-71.166062
1160.000,-68.989750
1150.000,-66.758875
1140.000,-64.507937
1130.000,-62.233719
1120.000,-59.949894
1110.000,-57.684812
1100.000,-55.407906
1090.000,-53.098687
1080.000,-50.812187
1070.000,-48.539787
1060.000,-46.321669
1050.000,-44.075300
1040.000,-41.872531
1030.000,-39.734237
1020.000,-37.589681
1010.000,-35.483912
1000.000,-33.446856
990.000,-31.447825
980.000,-29.478781
970.000,-27.553687
960.000,-25.676750
950.000,-23.853544
940.000,-22.082762
930.000,-20.368556
920.000,-18.712956
910.000,-17.132069
900.000,-15.601956
890.000,-14.142875
880.000,-12.726862
870.000,-11.388412
860.000,-10.109256
850.000,-8.904900
840.000,-7.761187
830.000,-6.680787
820.000,-5.664303
810.000,-4.724241
800.000,-3.843112
790.000,-3.029332
780.000,-2.270957
770.000,-1.577751
760.000,-0.942396
750.000,-0.362580
740.000,0.146322
730.000,0.631882
720.000,1.035511
710.000,1.413014
700.000,1.741447
690.000,2.035257
680.000,2.289494
670.000,2.510924
660.000,2.696071
650.000,2.866431
640.000,3.000062
630.000,3.137798
620.000,3.229384
610.000,3.327600
600.000,3.384827
590.000,3.458025
580.000,3.503644
570.000,3.545531
560.000,3.605414
550.000,3.630380
540.000,3.660559
530.000,3.688976
520.000,3.705051
510.000,3.720364
500.000,3.737044
490.000,3.749621
480.000,3.762804
470.000,3.770458
460.000,3.781561
450.000,3.783456
440.000,3.799270
430.000,3.798113
420.000,3.816741
410.000,3.812293
400.000,3.826159
390.000,3.826764
380.000,3.831814
370.000,3.836892
360.000,3.829841
350.000,3.841075
340.000,3.847389
330.000,3.848784
320.000,3.849232
310.000,3.855311
300.000,3.860414
290.000,3.857994
280.000,3.857889
270.000,3.857994
260.000,3.857494
250.000,3.864363
240.000,3.857125
230.000,3.865623
220.000,3.859151
210.000,3.867703
200.000,3.862597
190.000,3.866675
180.000,3.874726
170.000,3.859020
160.000,3.873252
150.000,3.873046
140.000,3.868255
130.000,3.881488
120.000,3.873752
110.000,3.874279
100.000,3.865493
90.000,3.874332
80.000,3.874096
70.000,3.879201
60.000,3.869780
50.000,3.874804
40.000,3.872228
30.000,3.867492
20.000,3.878728
10.000,3.872807
0.000,3.874384
-10.000,3.867938
-20.000,3.872043
-30.000,3.877516
-40.000,3.870254
-50.000,3.882408
-60.000,3.879304
-70.000,3.879307
-80.000,3.866675
-90.000,3.873964
-100.000,3.872148
