I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C1+
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:55 AM


Light Intensity:,100.0% Sun
Voc (mV),733
Jsc (mA/cm2),3.74
Fill Factor,0.703
Efficiency (%),1.92
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-92.624375
1290.000,-98.258937
1280.000,-99.776000
1270.000,-99.802125
1260.000,-99.012187
1250.000,-97.702625
1240.000,-96.031625
1230.000,-94.075062
1220.000,-91.987375
1210.000,-89.713750
1200.000,-87.340687
1190.000,-84.920437
1180.000,-82.448500
1170.000,-79.948750
1160.000,-77.409875
1150.000,-74.802625
1140.000,-72.195312
1130.000,-69.601812
1120.000,-67.003937
1110.000,-64.413812
1100.000,-61.827931
1090.000,-59.261831
1080.000,-56.700875
1070.000,-54.171006
1060.000,-51.647037
1050.000,-49.168156
1040.000,-46.734550
1030.000,-44.336469
1020.000,-41.968650
1010.000,-39.654181
1000.000,-37.373269
990.000,-35.160362
980.000,-32.982400
970.000,-30.835700
960.000,-28.759175
950.000,-26.744644
940.000,-24.790781
930.000,-22.898537
920.000,-21.079100
910.000,-19.329287
900.000,-17.642925
890.000,-16.012394
880.000,-14.482519
870.000,-13.007312
860.000,-11.605325
850.000,-10.270637
840.000,-9.020550
830.000,-7.829925
820.000,-6.722387
810.000,-5.687771
800.000,-4.726843
790.000,-3.828694
780.000,-3.000127
770.000,-2.243649
760.000,-1.558176
750.000,-0.931583
740.000,-0.358054
730.000,0.146401
720.000,0.606624
710.000,1.014542
700.000,1.374206
690.000,1.681486
680.000,1.961454
670.000,2.201406
660.000,2.419389
650.000,2.596879
640.000,2.748742
630.000,2.894714
620.000,3.000165
610.000,3.106040
600.000,3.189364
590.000,3.257956
580.000,3.317049
570.000,3.376695
560.000,3.422212
550.000,3.457704
540.000,3.491621
530.000,3.521668
520.000,3.539767
510.000,3.577786
500.000,3.575339
490.000,3.609043
480.000,3.615619
470.000,3.628802
460.000,3.632564
450.000,3.646669
440.000,3.663006
430.000,3.666452
420.000,3.670531
410.000,3.676741
400.000,3.684159
390.000,3.696604
380.000,3.699577
370.000,3.699131
360.000,3.706366
350.000,3.711576
340.000,3.715968
330.000,3.713602
320.000,3.713101
310.000,3.731309
300.000,3.726572
290.000,3.729229
280.000,3.736464
270.000,3.736467
260.000,3.733623
250.000,3.736122
240.000,3.731648
230.000,3.740859
220.000,3.738941
210.000,3.750172
200.000,3.740122
190.000,3.745172
180.000,3.743937
170.000,3.749224
160.000,3.739833
150.000,3.742252
140.000,3.752249
130.000,3.747911
120.000,3.748462
110.000,3.743382
100.000,3.736386
90.000,3.747646
80.000,3.747278
70.000,3.746857
60.000,3.746332
50.000,3.742122
40.000,3.749884
30.000,3.749041
20.000,3.741386
10.000,3.744646
0.000,3.737124
-10.000,3.745016
-20.000,3.743067
-30.000,3.740752
-40.000,3.738726
-50.000,3.745461
-60.000,3.735096
-70.000,3.751566
-80.000,3.747594
-90.000,3.747620
-100.000,3.740356
