I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C2 dark
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:57 AM


Light Intensity:,Dark Sun
Voc (mV),----
Jsc (mA/cm2),----
Fill Factor,----
Efficiency (%),----
Voltage (mV),Dark Sun (mA/cm2)
1300.000,-52.771125
1290.000,-47.530937
1280.000,-41.842819
1270.000,-37.262981
1260.000,-33.623344
1250.000,-30.683569
1240.000,-28.133906
1230.000,-26.035737
1220.000,-24.140419
1210.000,-22.474075
1200.000,-20.965481
1190.000,-19.706962
1180.000,-18.339462
1170.000,-17.157619
1160.000,-16.068625
1150.000,-15.017569
1140.000,-14.052225
1130.000,-13.143025
1120.000,-12.266000
1110.000,-11.425519
1100.000,-10.651756
1090.000,-9.906412
1080.000,-9.234094
1070.000,-8.559512
1060.000,-7.977519
1050.000,-7.309612
1040.000,-6.749656
1030.000,-6.228194
1020.000,-5.722281
1010.000,-5.255697
1000.000,-4.814921
990.000,-4.404006
980.000,-4.018744
970.000,-3.657763
960.000,-3.320671
950.000,-3.007913
940.000,-2.716861
930.000,-2.445329
920.000,-2.194687
910.000,-1.964407
900.000,-1.751045
890.000,-1.555834
880.000,-1.376462
870.000,-1.212401
860.000,-1.063494
850.000,-0.928557
840.000,-0.807906
830.000,-0.699987
820.000,-0.603672
810.000,-0.517511
800.000,-0.442558
790.000,-0.376076
780.000,-0.318802
770.000,-0.269183
760.000,-0.225880
750.000,-0.189153
740.000,-0.158424
730.000,-0.132063
720.000,-0.109543
710.000,-0.090811
700.000,-0.076078
690.000,-0.063608
680.000,-0.053584
670.000,-0.044850
660.000,-0.037694
650.000,-0.032168
640.000,-0.027775
630.000,-0.023591
620.000,-0.020487
610.000,-0.017487
600.000,-0.015146
590.000,-0.013909
580.000,-0.011883
570.000,-0.010541
560.000,-0.009594
550.000,-0.008121
540.000,-0.007726
530.000,-0.006831
520.000,-0.006068
510.000,-0.005516
500.000,-0.004437
490.000,-0.004858
480.000,-0.004200
470.000,-0.004069
460.000,-0.003885
450.000,-0.003385
440.000,-0.003543
430.000,-0.003253
420.000,-0.003332
410.000,-0.002516
400.000,-0.002411
390.000,-0.002332
380.000,-0.002253
370.000,-0.001675
360.000,-0.001648
350.000,-0.001148
340.000,-0.001464
330.000,-0.001385
320.000,-0.001148
310.000,-0.000833
300.000,-0.000648
290.000,-0.000859
280.000,-0.000675
270.000,-0.000438
260.000,-0.000280
250.000,-0.000570
240.000,-0.000385
230.000,-0.000149
220.000,0.000088
210.000,0.000115
200.000,-0.000043
190.000,0.000036
180.000,0.000115
170.000,0.000351
160.000,0.000299
150.000,0.000378
140.000,0.000430
130.000,0.000509
120.000,0.000536
110.000,0.000536
100.000,0.000509
90.000,0.000351
80.000,0.000378
70.000,0.000746
60.000,0.000509
50.000,0.000536
40.000,0.000693
30.000,0.000614
20.000,0.000772
10.000,0.000851
0.000,0.000667
-10.000,0.000772
-20.000,0.001035
-30.000,0.000641
-40.000,0.114749
-50.000,0.176684
-60.000,0.244723
-70.000,0.637722
-80.000,1.333896
-90.000,1.987947
-100.000,2.704250
