I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C2
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:58 AM


Light Intensity:,100.0% Sun
Voc (mV),898
Jsc (mA/cm2),3.49
Fill Factor,0.563
Efficiency (%),1.76
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-52.204206
1290.000,-47.506162
1280.000,-42.247575
1270.000,-37.409425
1260.000,-33.758794
1250.000,-30.832669
1240.000,-28.419212
1230.000,-26.368887
1220.000,-24.432412
1210.000,-23.741231
1200.000,-21.464506
1190.000,-19.931837
1180.000,-18.655556
1170.000,-17.326469
1160.000,-16.139056
1150.000,-15.061744
1140.000,-13.988837
1130.000,-13.002381
1120.000,-12.152269
1110.000,-11.145575
1100.000,-10.297856
1090.000,-9.503725
1080.000,-8.738894
1070.000,-7.945887
1060.000,-7.230475
1050.000,-6.559419
1040.000,-5.917650
1030.000,-5.317363
1020.000,-4.750756
1010.000,-4.209061
1000.000,-3.699830
990.000,-3.223407
980.000,-2.771530
970.000,-2.349118
960.000,-1.948516
950.000,-1.581011
940.000,-1.226739
930.000,-0.906221
920.000,-0.598620
910.000,-0.313382
900.000,-0.051401
890.000,0.204099
880.000,0.426581
870.000,0.637801
860.000,0.835840
850.000,1.013014
840.000,1.187321
830.000,1.338079
820.000,1.480289
810.000,1.609498
800.000,1.729106
790.000,1.840557
780.000,1.936669
770.000,2.030386
760.000,2.116897
750.000,2.191249
740.000,2.261551
730.000,2.326616
720.000,2.387182
710.000,2.441514
700.000,2.494345
690.000,2.543677
680.000,2.588564
670.000,2.628056
660.000,2.668836
650.000,2.710644
640.000,2.741769
630.000,2.782787
620.000,2.824936
610.000,2.848064
600.000,2.885609
590.000,2.910367
580.000,2.948227
570.000,2.976668
560.000,2.999164
550.000,3.031395
540.000,3.063468
530.000,3.088962
520.000,3.114141
510.000,3.125717
500.000,3.154107
490.000,3.166472
480.000,3.193809
470.000,3.212015
460.000,3.227065
450.000,3.246509
440.000,3.260059
430.000,3.277135
420.000,3.291079
410.000,3.302918
400.000,3.317072
390.000,3.326651
380.000,3.346830
370.000,3.354039
360.000,3.364248
350.000,3.367694
340.000,3.376719
330.000,3.383269
320.000,3.389664
310.000,3.389584
300.000,3.394794
290.000,3.405002
280.000,3.406897
270.000,3.412132
260.000,3.412634
250.000,3.418156
240.000,3.423209
230.000,3.417974
220.000,3.431052
210.000,3.428261
200.000,3.424419
190.000,3.434602
180.000,3.437942
170.000,3.437075
160.000,3.442522
150.000,3.442547
140.000,3.447336
130.000,3.442363
120.000,3.457859
110.000,3.461859
100.000,3.453020
90.000,3.459386
80.000,3.460229
70.000,3.467622
60.000,3.471226
50.000,3.476857
40.000,3.480329
30.000,3.476041
20.000,3.478829
10.000,3.489091
0.000,3.487827
-10.000,3.489512
-20.000,3.486328
-30.000,3.493169
-40.000,3.542684
-50.000,3.554262
-60.000,3.634192
-70.000,3.868882
-80.000,4.302583
-90.000,4.698922
-100.000,5.119179
