I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C2
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:59 AM


Light Intensity:,100.0% Sun
Voc (mV),892
Jsc (mA/cm2),3.55
Fill Factor,0.529
Efficiency (%),1.67
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-53.537112
1290.000,-48.620956
1280.000,-43.087531
1270.000,-38.720381
1260.000,-35.476969
1250.000,-32.382137
1240.000,-29.806925
1230.000,-27.692137
1220.000,-25.893394
1210.000,-24.132625
1200.000,-22.646450
1190.000,-21.187319
1180.000,-19.789731
1170.000,-18.505675
1160.000,-17.305719
1150.000,-16.156275
1140.000,-15.067875
1130.000,-14.029044
1120.000,-13.034475
1110.000,-12.095206
1100.000,-11.187325
1090.000,-10.319875
1080.000,-9.487762
1070.000,-8.699550
1060.000,-7.944894
1050.000,-7.234425
1040.000,-6.555237
1030.000,-5.901786
1020.000,-5.285901
1010.000,-4.708081
1000.000,-4.162732
990.000,-3.643819
980.000,-3.152849
970.000,-2.695156
960.000,-2.263721
950.000,-1.861383
940.000,-1.485722
930.000,-1.132765
920.000,-0.803486
910.000,-0.496780
900.000,-0.212594
890.000,0.051552
880.000,0.297370
870.000,0.519352
860.000,0.726178
850.000,0.920875
840.000,1.093656
830.000,1.263254
820.000,1.400856
810.000,1.535829
800.000,1.656384
790.000,1.766941
780.000,1.864158
770.000,1.946169
760.000,2.031044
750.000,2.105372
740.000,2.169649
730.000,2.228400
720.000,2.275811
710.000,2.327222
700.000,2.376422
690.000,2.413573
680.000,2.462773
670.000,2.493662
660.000,2.532522
650.000,2.570831
640.000,2.600221
630.000,2.633896
620.000,2.660996
610.000,2.695174
600.000,2.725010
590.000,2.760527
580.000,2.783182
570.000,2.819096
560.000,2.850011
550.000,2.875400
540.000,2.908551
530.000,2.939413
520.000,2.968487
510.000,2.997376
500.000,3.020793
490.000,3.044682
480.000,3.073571
470.000,3.097619
460.000,3.132114
450.000,3.152238
440.000,3.183285
430.000,3.198099
420.000,3.220304
410.000,3.243824
400.000,3.267081
390.000,3.280948
380.000,3.297683
370.000,3.316337
360.000,3.330386
350.000,3.348594
340.000,3.360854
330.000,3.382958
320.000,3.385928
310.000,3.402846
300.000,3.415264
290.000,3.424921
280.000,3.438050
270.000,3.436418
260.000,3.454992
250.000,3.456548
240.000,3.468201
230.000,3.469357
220.000,3.477962
210.000,3.484381
200.000,3.485592
190.000,3.505561
180.000,3.493116
170.000,3.502746
160.000,3.505612
150.000,3.503641
140.000,3.509665
130.000,3.510270
120.000,3.517926
110.000,3.511374
100.000,3.521794
90.000,3.527950
80.000,3.530767
70.000,3.532817
60.000,3.535344
50.000,3.540291
40.000,3.536081
30.000,3.538107
20.000,3.539001
10.000,3.548997
0.000,3.549236
-10.000,3.550157
-20.000,3.556814
-30.000,3.553157
-40.000,3.575047
-50.000,3.609302
-60.000,3.650557
-70.000,3.811079
-80.000,4.209365
-90.000,4.373621
-100.000,4.676453
