I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C3 dark
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 12:01 PM


Light Intensity:,Dark Sun
Voc (mV),----
Jsc (mA/cm2),----
Fill Factor,----
Efficiency (%),----
Voltage (mV),Dark Sun (mA/cm2)
1300.000,-71.980375
1290.000,-72.086687
1280.000,-69.405000
1270.000,-66.336687
1260.000,-63.273812
1250.000,-60.273525
1240.000,-57.350619
1230.000,-54.490394
1220.000,-51.709587
1210.000,-49.001431
1200.000,-46.357681
1190.000,-43.782581
1180.000,-41.296381
1170.000,-38.868869
1160.000,-36.515212
1150.000,-34.228475
1140.000,-32.034312
1130.000,-29.911937
1120.000,-27.867675
1110.000,-25.899856
1100.000,-24.027062
1090.000,-22.231056
1080.000,-20.522619
1070.000,-18.896775
1060.000,-17.356250
1050.000,-15.897200
1040.000,-14.520125
1030.000,-13.235556
1020.000,-12.028562
1010.000,-10.905637
1000.000,-9.861419
990.000,-8.897206
980.000,-8.003737
970.000,-7.183725
960.000,-6.429006
950.000,-5.744695
940.000,-5.118631
930.000,-4.551969
920.000,-4.038134
910.000,-3.576311
900.000,-3.160215
890.000,-2.786894
880.000,-2.452881
870.000,-2.155355
860.000,-1.890216
850.000,-1.654386
840.000,-1.445916
830.000,-1.260888
820.000,-1.097932
810.000,-0.954181
800.000,-0.828137
790.000,-0.716931
780.000,-0.619799
770.000,-0.535374
760.000,-0.461736
750.000,-0.396991
740.000,-0.341059
730.000,-0.292467
720.000,-0.250268
710.000,-0.213462
700.000,-0.181497
690.000,-0.154451
680.000,-0.131695
670.000,-0.111832
660.000,-0.094915
650.000,-0.080498
640.000,-0.068159
630.000,-0.057531
620.000,-0.048743
610.000,-0.041324
600.000,-0.034826
590.000,-0.029564
580.000,-0.024538
570.000,-0.020829
560.000,-0.017277
550.000,-0.014856
540.000,-0.012278
530.000,-0.010383
520.000,-0.008594
510.000,-0.007095
500.000,-0.005884
490.000,-0.004648
480.000,-0.003832
470.000,-0.002990
460.000,-0.002569
450.000,-0.002148
440.000,-0.001306
430.000,-0.001201
420.000,-0.000806
410.000,-0.000491
400.000,-0.000412
390.000,-0.000280
380.000,-0.000149
370.000,0.000036
360.000,0.000115
350.000,0.000088
340.000,0.000325
330.000,0.000272
320.000,0.000220
310.000,-0.000070
300.000,0.000193
290.000,0.000220
280.000,0.000404
270.000,0.000378
260.000,0.000272
250.000,0.000351
240.000,0.000483
230.000,0.000430
220.000,0.000535
210.000,0.000614
200.000,0.000430
190.000,0.000457
180.000,0.000430
170.000,0.000483
160.000,0.000509
150.000,0.000351
140.000,0.000299
130.000,0.000220
120.000,0.000772
110.000,0.000272
100.000,0.000299
90.000,0.000536
80.000,0.000483
70.000,0.000535
60.000,0.000509
50.000,0.000141
40.000,0.000509
30.000,0.000088
20.000,0.000325
10.000,0.000378
0.000,0.000115
-10.000,0.000036
-20.000,0.000614
-30.000,0.000483
-40.000,0.000351
-50.000,0.000535
-60.000,0.000720
-70.000,0.000930
-80.000,0.000693
-90.000,0.000457
-100.000,0.000457
