I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C3
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 12:02 PM


Light Intensity:,100.0% Sun
Voc (mV),903
Jsc (mA/cm2),5.20
Fill Factor,0.584
Efficiency (%),2.74
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-68.357437
1290.000,-70.145187
1280.000,-67.805875
1270.000,-64.791687
1260.000,-61.733200
1250.000,-58.770481
1240.000,-55.875594
1230.000,-53.062062
1220.000,-50.322787
1210.000,-47.637050
1200.000,-45.010469
1190.000,-42.448619
1180.000,-39.947956
1170.000,-37.512300
1160.000,-35.127512
1150.000,-32.816962
1140.000,-30.570962
1130.000,-28.395962
1120.000,-26.292962
1110.000,-24.273750
1100.000,-22.330644
1090.000,-20.457369
1080.000,-18.657725
1070.000,-16.950987
1060.000,-15.327506
1050.000,-13.784637
1040.000,-12.316381
1030.000,-10.937200
1020.000,-9.642631
1010.000,-8.421856
1000.000,-7.295744
990.000,-6.227901
980.000,-5.252749
970.000,-4.353361
960.000,-3.522956
950.000,-2.766321
940.000,-2.062142
930.000,-1.420397
920.000,-0.844132
910.000,-0.324379
900.000,0.157451
890.000,0.580628
880.000,0.980415
870.000,1.324897
860.000,1.627783
850.000,1.908674
840.000,2.157807
830.000,2.379157
820.000,2.586036
810.000,2.758423
800.000,2.913364
790.000,3.070753
780.000,3.201543
770.000,3.324596
760.000,3.420734
750.000,3.532316
740.000,3.611694
730.000,3.689627
720.000,3.772006
710.000,3.842227
700.000,3.914661
690.000,3.971176
680.000,4.029373
670.000,4.081338
660.000,4.143166
650.000,4.186499
640.000,4.239357
630.000,4.288741
620.000,4.340496
610.000,4.386748
600.000,4.421922
590.000,4.465521
580.000,4.505987
570.000,4.546504
560.000,4.587443
550.000,4.614254
540.000,4.656403
530.000,4.682266
520.000,4.710312
510.000,4.741676
500.000,4.766407
490.000,4.806531
480.000,4.822451
470.000,4.862387
460.000,4.868177
450.000,4.894356
440.000,4.909483
430.000,4.920456
420.000,4.954211
410.000,4.953842
400.000,4.976127
390.000,4.984309
380.000,5.006358
370.000,5.007804
360.000,5.032562
350.000,5.037038
340.000,5.041405
330.000,5.056847
320.000,5.069135
310.000,5.063585
300.000,5.084764
290.000,5.097052
280.000,5.105602
270.000,5.101052
260.000,5.115469
250.000,5.105890
240.000,5.111152
230.000,5.132201
220.000,5.126072
210.000,5.133991
200.000,5.133779
190.000,5.132886
180.000,5.138174
170.000,5.148564
160.000,5.148618
150.000,5.151066
140.000,5.147249
130.000,5.162667
120.000,5.153039
110.000,5.160670
100.000,5.163013
90.000,5.162485
80.000,5.170957
70.000,5.175561
60.000,5.184374
50.000,5.184770
40.000,5.203004
30.000,5.169379
20.000,5.194847
10.000,5.187349
0.000,5.195452
-10.000,5.186609
-20.000,5.197027
-30.000,5.192871
-40.000,5.190951
-50.000,5.210026
-60.000,5.192421
-70.000,5.193343
-80.000,5.205236
-90.000,5.196186
-100.000,5.208657
