I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C3
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 12:03 PM


Light Intensity:,100.0% Sun
Voc (mV),897
Jsc (mA/cm2),5.17
Fill Factor,0.573
Efficiency (%),2.66
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-71.796937
1290.000,-74.099062
1280.000,-71.672875
1270.000,-68.454687
1260.000,-65.232937
1250.000,-62.119350
1240.000,-59.087794
1230.000,-56.145312
1220.000,-53.287587
1210.000,-50.494269
1200.000,-47.758087
1190.000,-45.083306
1180.000,-42.489181
1170.000,-39.935306
1160.000,-37.457156
1150.000,-35.041562
1140.000,-32.705269
1130.000,-30.422825
1120.000,-28.225287
1110.000,-26.100087
1100.000,-24.054700
1090.000,-22.075837
1080.000,-20.191356
1070.000,-18.383812
1060.000,-16.670575
1050.000,-15.023081
1040.000,-13.472531
1030.000,-12.014606
1020.000,-10.629562
1010.000,-9.338606
1000.000,-8.130169
990.000,-7.005737
980.000,-5.947769
970.000,-4.986659
960.000,-4.089879
950.000,-3.270208
940.000,-2.520359
930.000,-1.826206
920.000,-1.208216
910.000,-0.657814
900.000,-0.137798
890.000,0.320128
880.000,0.734675
870.000,1.105810
860.000,1.438506
850.000,1.731682
840.000,2.002654
830.000,2.222661
820.000,2.445614
810.000,2.632446
800.000,2.796913
790.000,2.958749
780.000,3.082170
770.000,3.200067
760.000,3.315727
750.000,3.415603
740.000,3.501270
730.000,3.576833
720.000,3.659317
710.000,3.730589
700.000,3.788052
690.000,3.850593
680.000,3.894296
670.000,3.958412
660.000,4.008613
650.000,4.056896
640.000,4.090622
630.000,4.152137
620.000,4.179446
610.000,4.230936
600.000,4.266666
590.000,4.305578
580.000,4.356829
570.000,4.392586
560.000,4.429106
550.000,4.465836
540.000,4.498145
530.000,4.523693
520.000,4.570207
510.000,4.584259
500.000,4.633564
490.000,4.659372
480.000,4.681184
470.000,4.717416
460.000,4.751911
450.000,4.756592
440.000,4.788297
430.000,4.810793
420.000,4.830259
410.000,4.858702
400.000,4.887143
390.000,4.887776
380.000,4.909089
370.000,4.924347
360.000,4.943083
350.000,4.949159
340.000,4.971732
330.000,4.981494
320.000,4.999199
310.000,5.014015
300.000,5.024511
290.000,5.029666
280.000,5.040665
270.000,5.042163
260.000,5.062060
250.000,5.055901
240.000,5.081184
230.000,5.082500
220.000,5.091316
210.000,5.103546
200.000,5.090577
190.000,5.095890
180.000,5.114886
170.000,5.128305
160.000,5.110336
150.000,5.128122
140.000,5.126621
130.000,5.133567
120.000,5.149116
110.000,5.131015
100.000,5.153142
90.000,5.137328
80.000,5.151274
70.000,5.147721
60.000,5.144564
50.000,5.148169
40.000,5.153640
30.000,5.166085
20.000,5.157169
10.000,5.171976
0.000,5.171927
-10.000,5.166324
-20.000,5.167032
-30.000,5.164587
-40.000,5.164085
-50.000,5.183792
-60.000,5.171189
-70.000,5.175662
-80.000,5.171608
-90.000,5.177452
-100.000,5.182844
